offset,texto,tamanho_bytes,encoding,texto_traduzido
0x1fc,The nuclear weapons disposal|facility on Shadow Moses Island,61,latin-1,
0x24c,in Alaska's Fox Archipelago,27,shift_jis,
0x278,was attacked and captured by|Next-Generation Special Forces,60,latin-1,
0x2c8,being led by members|of FOX-HOUND.,35,latin-1,
0x2fc,They're demanding that the government|turn over the remains of Big Boss,72,latin-1,
0x358,"and they say that if their demands|are not met within 24 hours,",64,latin-1,
0x3ac,they'll launch a nuclear weapon.,32,shift_jis,
0x3e0,You'll have two mission objectives.,35,shift_jis,
0x414,"First, you're to rescue DARPA|chief, Donald Anderson",53,latin-1,
0x45c,"and the President of ArmsTech,|Kenneth Baker.",46,latin-1,
0x49c,Both are being held as hostages.,32,shift_jis,
0x4d0,"Secondly,",9,shift_jis,
0x4ec,you're to investigate whether or not|the terrorists have the ability,69,latin-1,
0x544,to make a nuclear strike...,27,shift_jis,
0x570,and stop them if they do.,25,shift_jis,
0x59c,What's the insertion method?,28,shift_jis,
0x5cc,We'll approach the disposal facility|by sub.,45,latin-1,
0x60c,And then?,9,shift_jis,
0x628,We'll launch a one-man SDV|(swimmer delivery vehicle).,55,latin-1,
0x670,"After the SDV gets as close as it can,|dispose of it.",54,latin-1,
0x6b8,From there on you'll have to swim.,34,shift_jis,
0x64495c,High Tech Special Forces Unit|FOX-HOUND.,41,latin-1,
0x644998,Your former unit...,19,shift_jis,
0x6449bc,...and one that I was a commander of.,37,shift_jis,
0x6449f4,So they're still around...,26,shift_jis,
0x644a20,There are six members of FOX-HOUND|involved in this terrorist activity.,72,latin-1,
0x644a7c,"Psycho Mantis,|with his powerful psychic abilities.",52,latin-1,
0x644ac4,"Sniper Wolf,|the beautiful and deadly sharpshooter.",52,latin-1,
0x644b0c,"Decoy Octopus,|master of disguise.",35,latin-1,
0x644b40,"Vulcan Raven,|giant and shaman.",32,latin-1,
0x7a8120,"And Revolver Ocelot,",20,shift_jis,
0x7a8148,specialist in interrogation|and a formidable gunfighter.,57,latin-1,
0x7a8194,"And finally, in charge of them...|FOX-HOUND's squad leader,",60,latin-1,
0x7a81e4,Liquid Snake.,13,shift_jis,
0x7a8204,Liquid Snake?,13,shift_jis,
0x7a8224,The man with the same code|name as you.,40,latin-1,
0x7a8260,The nuclear weapons disposal facility|covers the whole island.,63,latin-1,
0x7a82b0,I'll instruct you by codec after|you reach your target.,56,latin-1,
0x7a82fc,Anyone going with me?,21,shift_jis,
0x7a8324,"As usual, this is a one-man|infiltration mission.",50,latin-1,
0x7a8368,Weapons and equipment OSP|(on-site procurement)?,49,latin-1,
0x7a83ac,Yes.,4,shift_jis,
0x7a83c4,This is a top-secret black op.,30,shift_jis,
0x7a83f4,Don't expect any official support.,34,shift_jis,
